date,location,crime_type,perp_age,perp_gender,perp_occupation,motive,status
2023-08-02,Jawa Timur,Pencurian Kendaraan Bermotor,33,Laki-laki,Buruh,Ekonomi,Selesai
2024-02-27,DKI Jakarta,Pemerkosaan,40,Laki-laki,Pegawai Swasta,Kecanduan,Dalam Proses
2021-04-02,DKI Jakarta,Pencurian Kendaraan Bermotor,24,Laki-laki,Pedagang,Pengaruh Lingkungan,Selesai
2020-07-28,Jawa Tengah,Penganiayaan,32,Laki-laki,Tukang,Pengaruh Lingkungan,Selesai
2023-01-21,Sumatera Selatan,Pencurian,20,Laki-laki,Buruh,Keserakahan,Dalam Proses
2022-05-14,Jawa Barat,Penganiayaan,16,Laki-laki,Tidak Bekerja,Ekonomi,Selesai
2020-07-10,Sumatera Selatan,Pencurian,23,Laki-laki,Petani,Kecanduan,Selesai
2022-10-31,DKI Jakarta,Penganiayaan,25,Laki-laki,Sopir,Ekonomi,Belum Terselesaikan
2023-02-23,Jawa Tengah,Penyalahgunaan Narkoba,29,Laki-laki,Petani,Pengaruh Lingkungan,Selesai
2023-08-23,Riau,Perampokan,15,Perempuan,Guru,Provokasi,Belum Terselesaikan
2022-05-09,Sumatera Selatan,Pencurian Kendaraan Bermotor,27,Laki-laki,Petani,Gangguan Mental,Selesai
2023-04-21,Sulawesi Utara,Penipuan,25,Laki-laki,Pegawai Swasta,Ekonomi,Selesai
2024-04-03,Jawa Barat,Pembunuhan,22,Laki-laki,Perawat,Cemburu,Dalam Proses
2023-11-30,Kalimantan Selatan,Perampokan,32,Perempuan,Mahasiswa,Konflik Personal,Selesai
2021-07-23,Jawa Timur,Pencurian,30,Laki-laki,Pedagang,Kecanduan,Selesai
2024-04-12,Jawa Tengah,Penipuan,35,Perempuan,PNS,Dendam,Dalam Proses
2020-07-08,Nusa Tenggara Barat,Penganiayaan,30,Perempuan,Mahasiswa,Dendam,Selesai
2022-01-05,Sulawesi Selatan,Penganiayaan,22,Laki-laki,Polisi,Konflik Personal,Selesai
2023-05-21,DKI Jakarta,Pencurian,28,Laki-laki,Pegawai Swasta,Ekonomi,Selesai
2024-02-03,Nusa Tenggara Barat,Pencurian,25,Laki-laki,Pelajar,Provokasi,Dalam Proses
2020-09-12,Jawa Barat,Pencurian,21,Perempuan,TNI,Tekanan Sosial,Dalam Proses
2020-06-10,Sumatera Selatan,Pemerkosaan,23,Perempuan,Wiraswasta,Kebutuhan Mendesak,Selesai
2024-08-25,Nusa Tenggara Barat,Penganiayaan,22,Laki-laki,Tukang,Keserakahan,Selesai
2024-12-18,Sulawesi Utara,Pemerkosaan,25,Laki-laki,Polisi,Konflik Personal,Selesai
2023-03-28,Jawa Timur,Pencurian,25,Perempuan,Petani,Pengaruh Lingkungan,Selesai
2020-05-22,Sumatera Utara,Penyalahgunaan Narkoba,21,Laki-laki,Tidak Bekerja,Ketidaktahuan Hukum,Belum Terselesaikan
2021-04-11,Riau,Penipuan,15,Laki-laki,Perawat,Kebutuhan Mendesak,Selesai
2020-06-12,Sumatera Selatan,Penganiayaan,27,Laki-laki,Polisi,Kecanduan,Selesai
2024-11-09,Nusa Tenggara Barat,Pencurian,27,Perempuan,Buruh,Tekanan Sosial,Selesai
2021-07-23,Kalimantan Timur,Perampokan,18,Laki-laki,Pelajar,Ketidaktahuan Hukum,Dalam Proses
2024-09-04,Jawa Timur,Penyalahgunaan Narkoba,32,Laki-laki,PNS,Cemburu,Dalam Proses
2022-01-28,Jawa Tengah,Pencurian,45,Laki-laki,PNS,Kecanduan,Selesai
2023-10-04,Kalimantan Timur,Pencurian,15,Laki-laki,Pegawai Swasta,Pengaruh Lingkungan,Selesai
2023-10-31,Kalimantan Timur,Penipuan,28,Perempuan,Tukang,Dendam,Selesai
2023-06-01,Jawa Tengah,Pencurian,34,Perempuan,Tukang,Cemburu,Selesai
2022-12-29,Sumatera Utara,Pencurian,18,Laki-laki,Guru,Kecanduan,Belum Terselesaikan
2020-11-30,Nusa Tenggara Barat,Penyalahgunaan Narkoba,18,Perempuan,Pelajar,Tekanan Sosial,Belum Terselesaikan
2021-07-06,Nusa Tenggara Barat,Perampokan,17,Laki-laki,TNI,Ketidaktahuan Hukum,Selesai
2023-11-10,Jawa Barat,Korupsi,30,Laki-laki,Wiraswasta,Kecanduan,Selesai
